timestamp,equity,from_tier,to_tier
2024-03-08 14:45:00,155259.12703562187,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-04-05 12:15:00,141193.67459012312,Tier 2: $150k-$225k ($10.5k risk),Tier 1: $0k-$150k ($5.0k risk)
2024-04-22 04:00:00,152874.6376069708,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-05-14 10:30:00,142374.6376069708,Tier 2: $150k-$225k ($10.5k risk),Tier 1: $0k-$150k ($5.0k risk)
2024-05-22 15:45:00,157149.4332423915,Tier 1: $0k-$150k ($5.0k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-10-19 12:45:00,229539.38840039904,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-11-17 02:15:00,210773.58310939476,Tier 3: $225k-$338k ($14.6k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-11-29 02:15:00,229430.29416537116,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2024-11-30 11:00:00,211880.29416537116,Tier 3: $225k-$338k ($14.6k risk),Tier 2: $150k-$225k ($10.5k risk)
2024-12-12 15:00:00,242377.5715125947,Tier 2: $150k-$225k ($10.5k risk),Tier 3: $225k-$338k ($14.6k risk)
2025-01-31 15:45:00,337651.57644511876,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-03-03 15:00:00,333342.69183899974,Tier 4: $338k-$507k ($20.2k risk),Tier 3: $225k-$338k ($14.6k risk)
2025-03-12 11:45:00,339007.70266648184,Tier 3: $225k-$338k ($14.6k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-06-08 11:30:00,509681.63056385465,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-07-04 08:00:00,480689.58584438846,Tier 5: $507k-$760k ($28.0k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-08-07 10:15:00,512086.613359949,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2025-08-14 12:30:00,478486.613359949,Tier 5: $507k-$760k ($28.0k risk),Tier 4: $338k-$507k ($20.2k risk)
2025-09-08 09:15:00,528328.230897034,Tier 4: $338k-$507k ($20.2k risk),Tier 5: $507k-$760k ($28.0k risk)
2026-01-03 21:00:00,765558.6858621346,Tier 5: $507k-$760k ($28.0k risk),Tier 6: $760k-$1200k ($38.0k risk)
