streak_length,max_streak_level,start_time,end_time,first_entry_price,last_exit_price,streak_high,streak_low,price_range,total_loss,num_trades
3,3,2023-04-28 08:30:00,2023-05-06 12:15:00,29199.9,29190.678571428572,29255.3,25751.0,3504.2999999999993,-5255.169048612702,3
3,3,2023-06-22 06:15:00,2023-06-28 06:00:00,30120.6,30358.22142857143,31850.0,24581.0,7269.0,-12000.644246282163,3
4,3,2023-10-25 02:30:00,2023-11-10 06:45:00,33963.8,36608.25,44779.3,33350.0,11429.300000000003,-13910.799675655513,4
4,3,2024-01-09 09:45:00,2024-01-27 08:45:00,46497.8,41481.34714285714,41720.2,41360.1,360.09999999999854,-28333.943790756293,4
3,3,2024-01-31 00:45:00,2024-02-10 10:45:00,42913.0,46896.00142857143,47252.4,46836.4,416.0,-9325.382792121562,3
5,3,2024-03-29 04:45:00,2024-04-09 01:00:00,70427.0,71123.72428571428,72890.4,65966.0,6924.399999999994,-40681.219438708475,5
4,3,2024-04-09 04:00:00,2024-04-09 13:45:00,71171.1,70154.07142857143,71412.2,59541.0,11871.199999999997,-29216.270724371585,4
4,3,2024-06-13 02:30:00,2024-06-28 07:30:00,67882.4,61431.56428571428,62379.7,60605.0,1774.699999999997,-41408.91374962741,4
3,3,2024-11-30 06:45:00,2024-11-30 14:00:00,96699.0,96397.02142857143,104630.4,90200.0,14430.399999999994,-19965.21906598975,3
3,3,2024-12-22 00:00:00,2025-01-03 07:30:00,97154.4,96303.32571428572,97433.4,96061.5,1371.8999999999942,-38769.837165523895,3
6,6,2025-01-04 09:00:00,2025-01-18 08:00:00,97795.8,102244.18428571429,105784.0,88909.0,16875.0,-71412.64400625564,6
4,3,2025-01-22 07:45:00,2025-01-25 08:30:00,105063.8,104171.76428571428,105496.9,97680.0,7816.899999999994,-37845.18473828166,4
3,3,2025-02-05 04:30:00,2025-03-03 14:30:00,98216.9,90998.23571428572,93249.0,76560.0,16689.0,-43717.8486442899,3
5,3,2025-06-17 08:30:00,2025-07-17 11:45:00,106434.5,117932.53571428571,120951.5,115678.1,5273.399999999994,-106491.49471323323,5
3,3,2025-09-17 11:45:00,2025-09-30 13:00:00,116200.1,112822.44285714286,126208.5,101516.5,24692.0,-66039.53161756981,3
5,3,2025-10-28 00:00:00,2025-11-25 13:30:00,114034.1,87122.24285714285,91931.9,85226.4,6705.5,-62780.059378269856,5
4,3,2025-12-04 11:45:00,2025-12-10 11:45:00,92894.9,91751.33571428571,94555.0,84408.6,10146.399999999994,-82215.0,4
